kid pa ma
M1_167 0 0
F1_187 0 0
F1_188 0 0
F1_189 0 0
M1_168 0 0
M1_169 0 0
F1_190 0 0
M1_170 0 0
F1_191 0 0
M1_171 0 0
F1_192 0 0
F1_193 0 0
F1_194 0 0
F1_195 0 0
M1_172 0 0
M1_173 0 0
M1_174 0 0
F1_196 0 0
F1_197 0 0
F1_198 0 0
F1_199 0 0
F1_200 0 0
M1_175 0 0
M1_176 0 0
M1_177 0 0
M1_178 0 0
F1_201 0 0
M1_179 0 0
M1_180 0 0
F1_202 0 0
M1_181 0 0
F1_203 0 0
M1_182 0 0
M1_183 0 0
F1_204 0 0
F1_205 0 0
F1_206 0 0
M1_184 0 0
M1_185 0 0
F1_207 0 0
F1_208 0 0
M1_186 0 0
M1_187 0 0
M1_188 0 0
F1_209 0 0
M1_189 0 0
F1_210 0 0
M1_190 0 0
F1_211 0 0
F1_212 0 0
F1_213 0 0
M1_191 0 0
M1_192 0 0
F1_214 0 0
M1_193 0 0
M1_194 0 0
M1_195 0 0
F1_215 0 0
M1_196 0 0
F1_216 0 0
F1_217 0 0
M1_197 0 0
M1_198 0 0
F1_218 0 0
F1_219 0 0
F1_220 0 0
M1_199 0 0
M1_200 0 0
M1_201 0 0
F1_221 0 0
F1_222 0 0
F1_223 0 0
F1_224 0 0
M1_202 0 0
M1_203 0 0
M1_204 0 0
M1_205 0 0
M1_206 0 0
F1_225 0 0
F1_226 0 0
M1_207 0 0
M1_208 0 0
M1_209 0 0
M1_210 0 0
F1_227 0 0
M1_211 0 0
F1_228 0 0
M1_212 0 0
F1_229 0 0
F1_230 0 0
M1_213 0 0
M1_214 0 0
M1_215 0 0
M1_216 0 0
M1_217 0 0
F1_231 0 0
F1_232 0 0
M1_218 0 0
F1_233 0 0
F1_234 0 0
M1_219 0 0
M1_220 0 0
F1_235 0 0
M1_221 0 0
F1_236 0 0
M1_222 0 0
F1_237 0 0
F1_238 0 0
M1_223 0 0
F1_239 0 0
F1_240 0 0
F1_241 0 0
M1_224 0 0
F1_242 0 0
F1_243 0 0
F1_244 0 0
M1_225 0 0
F1_245 0 0
M1_226 0 0
M1_227 0 0
M1_228 0 0
F1_246 0 0
M1_229 0 0
F1_247 0 0
M1_230 0 0
M1_231 0 0
F1_248 0 0
F1_249 0 0
M1_232 0 0
M1_233 0 0
M1_234 0 0
F1_250 0 0
M1_235 0 0
F1_251 0 0
F1_252 0 0
F1_253 0 0
F1_254 0 0
M1_236 0 0
F1_255 0 0
M1_237 0 0
M1_238 0 0
M1_239 0 0
M1_240 0 0
M1_241 0 0
M1_242 0 0
F1_256 0 0
F1_257 0 0
F1_258 0 0
F1_259 0 0
F1_260 0 0
M1_243 0 0
F1_261 0 0
F1_262 0 0
F1_263 0 0
F1_264 0 0
F1_265 0 0
F1_266 0 0
F1_267 0 0
M1_244 0 0
M1_245 0 0
F1_268 0 0
M1_246 0 0
M1_247 0 0
F1_269 0 0
F1_270 0 0
F1_271 0 0
M1_248 0 0
M1_249 0 0
M1_250 0 0
F1_272 0 0
F1_273 0 0
F1_274 0 0
M1_251 0 0
M1_252 0 0
F1_275 0 0
F1_276 0 0
F1_277 0 0
F1_278 0 0
M1_253 0 0
M1_254 0 0
F1_279 0 0
M1_255 0 0
F1_280 0 0
M1_256 0 0
M1_257 0 0
M1_258 0 0
M1_259 0 0
M1_260 0 0
F1_281 0 0
F1_282 0 0
M1_261 0 0
F1_283 0 0
F1_284 0 0
M1_262 0 0
F1_285 0 0
F1_286 0 0
F1_287 0 0
F1_288 0 0
F1_289 0 0
F1_290 0 0
M1_263 0 0
F1_291 0 0
M1_264 0 0
F1_292 0 0
F1_293 0 0
M1_265 0 0
F1_294 0 0
M1_266 0 0
M1_267 0 0
F1_295 0 0
F1_296 0 0
F1_297 0 0
M1_268 0 0
F1_298 0 0
F1_299 0 0
M1_269 0 0
M1_270 0 0
M1_271 0 0
M1_272 0 0
M1_273 0 0
F1_300 0 0
M1_274 0 0
M1_275 0 0
